# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed May 29 16:04:51 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.0152 7.750 0.7281071544 2.3906993866    0.728 -0.656  3.6724  4.598    0  0.000  0.541     0.00     0.00 -1 -1.63e-14      0.00 7.092e-01 2.755e-01 2.725e-03 7.401e-04 6.718e-03 -1.000 1.527e-02 6.411 6.468 7.038 7.083 5.775
0.0152 7.750 0.7500000000 2.3998889923    0.750 -0.619  3.6835  4.618    0  0.000  0.538     0.00     0.00 -1 -1.72e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.397e-04 6.718e-03 -1.000 1.527e-02 6.318 6.335 6.869 6.913 5.670
0.0152 7.750 0.8000000119 2.4187245369    0.800 -0.531  3.7016  4.630    0  0.000  0.538     0.00     0.00 -1 -2.03e-14      0.00 7.093e-01 2.754e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.527e-02 6.097 6.059 6.540 6.581 5.439
0.0152 7.750 0.8145345449 2.4237034321    0.815 -0.506  3.7055  4.629    0  0.000  0.538     0.00     0.00 -1 -2.12e-14      0.00 7.093e-01 2.754e-01 2.709e-03 7.396e-04 6.718e-03 -1.000 1.526e-02 6.036 5.989 6.459 6.500 5.378
0.0152 7.750 0.8500000238 2.4350347519    0.850 -0.431  3.7170  4.618    0  0.000  0.538     0.00     0.00 -1  -2.5e-14      0.00 7.093e-01 2.754e-01 2.709e-03 7.396e-04 6.717e-03 -1.000 1.527e-02 5.847 5.773 6.214 6.253 5.189
0.0152 7.750 0.8631749749 2.4389724731    0.863 -0.409  3.7203  4.616    0  0.000  0.538     0.00     0.00 -1 -2.62e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.527e-02 5.792 5.711 6.143 6.181 5.134
0.0152 7.750 0.8970260620 2.4484825134    0.897 -0.347  3.7293  4.607    0  0.000  0.538     0.00     0.00 -1 -2.97e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.523e-02 5.638 5.541 5.953 5.989 4.983
0.0152 7.750 0.9000000358 2.4492788315    0.900 -0.341  3.7303  4.606    0  0.000  0.538     0.00     0.00 -1 -3.01e-14      0.00 7.093e-01 2.754e-01 2.708e-03 7.395e-04 6.717e-03 -1.000 1.523e-02 5.622 5.523 5.932 5.969 4.967
0.0152 7.750 0.9500000477 2.4618122578    0.950 -0.233  3.7446  4.579    0  0.000  0.538     0.00     0.00 -1 -3.88e-14      0.00 7.094e-01 2.754e-01 2.708e-03 7.394e-04 6.716e-03 -1.000 1.527e-02 5.353 5.233 5.609 5.642 4.710
0.0152 7.750 0.9711725116 2.4666745663    0.971 -0.188  3.7505  4.567    0  0.000  0.538     0.00     0.00 -1 -4.31e-14      0.00 7.094e-01 2.753e-01 2.708e-03 7.393e-04 6.715e-03 -1.000 1.527e-02 5.240 5.115 5.476 5.507 4.606
0.0152 7.750 1.0000000000 2.4729156494    1.000 -0.130  3.7579  4.552    0  0.000  0.538     0.00     0.00 -1 -4.95e-14      0.00 7.094e-01 2.753e-01 2.708e-03 7.393e-04 6.715e-03 -1.000 1.527e-02 5.095 4.963 5.307 5.337 4.471
0.0152 7.750 1.0499999523 2.4828116894    1.050 -0.033  3.7696  4.523    0  0.000  0.538     0.00     0.00 -1 -5.81e-14      0.00 7.095e-01 2.753e-01 2.707e-03 7.391e-04 6.713e-03 -1.000 1.526e-02 4.852 4.714 5.032 5.059 4.249
0.0152 7.750 1.1000000238 2.4916803837    1.100  0.066  3.7807  4.488    0  0.000  0.538     0.00     0.00 -1 -6.81e-14      0.00 7.096e-01 2.751e-01 2.706e-03 7.389e-04 6.711e-03 -1.000 1.527e-02 4.606 4.465 4.758 4.782 4.027
0.0152 7.750 1.1499999762 2.4996678829    1.150  0.167  3.7927  4.454    0  0.000  0.538     0.00     0.00 -1 -8.02e-14      0.00 7.098e-01 2.750e-01 2.704e-03 7.385e-04 6.708e-03 -1.000 1.518e-02 4.352 4.211 4.479 4.500 3.802
0.0152 7.750 1.1553652287 2.5004780293    1.155  0.178  3.7940  4.450    0  0.000  0.538     0.00     0.00 -1 -8.15e-14      0.00 7.098e-01 2.750e-01 2.704e-03 7.385e-04 6.708e-03 -1.000 1.518e-02 4.324 4.184 4.449 4.470 3.777
0.0152 7.750 1.2000000477 2.5068950653    1.200  0.258  3.8027  4.422    0  0.000  0.538     0.00     0.00 -1  -9.1e-14      0.00 7.098e-01 2.749e-01 2.704e-03 7.384e-04 6.707e-03 -1.000 1.526e-02 4.124 3.985 4.233 4.252 3.600
0.0152 7.750 1.2500000000 2.5134611130    1.250  0.345  3.8124  4.392    0  0.000  0.538     0.00     0.00 -1 -1.01e-13      0.00 7.099e-01 2.749e-01 2.704e-03 7.384e-04 6.707e-03 -1.000 1.526e-02 3.909 3.772 4.001 4.018 3.410
0.0152 7.750 1.2999999523 2.5194499493    1.300  0.426  3.8216  4.364    0  0.000  0.538     0.00     0.00 -1  -1.1e-13      0.00 7.099e-01 2.748e-01 2.704e-03 7.383e-04 6.706e-03 -1.000 1.525e-02 3.705 3.571 3.783 3.798 3.229
0.0152 7.750 1.3500001431 2.5249314308    1.350  0.503  3.8310  4.342    0  0.000  0.538     0.00     0.00 -1 -1.16e-13      0.00 7.099e-01 2.748e-01 2.704e-03 7.383e-04 6.706e-03 -1.000 1.521e-02 3.513 3.380 3.575 3.590 3.060
0.0152 7.750 1.4000000954 2.5299651623    1.401  0.576  3.8407  4.323    0  0.000  0.538     0.00     0.00 -1 -1.18e-13      0.00 7.100e-01 2.748e-01 2.704e-03 7.383e-04 6.705e-03 -1.000 1.519e-02 3.330 3.200 3.380 3.393 2.902
0.0152 7.750 1.4500000477 2.5346016884    1.451  0.644  3.8515  4.314    0  0.000  0.538     0.00     0.00 -1 -1.15e-13      0.00 7.100e-01 2.748e-01 2.703e-03 7.382e-04 6.705e-03 -1.000 1.525e-02 3.160 3.035 3.197 3.210 2.762
0.0152 7.750 1.5000000000 2.5388846397    1.500  0.709  3.8636  4.312    0  0.000  0.538     0.00     0.00 -1 -1.05e-13      0.00 7.100e-01 2.747e-01 2.703e-03 7.381e-04 6.704e-03 -1.000 1.525e-02 2.997 2.878 3.021 3.032 2.633
0.0152 7.750 1.5499999523 2.5428512096    1.550  0.772  3.8769  4.316    0  0.000  0.538     0.00     0.00 -1 -8.92e-14      0.00 7.100e-01 2.747e-01 2.703e-03 7.380e-04 6.704e-03 -1.000 1.525e-02 2.841 2.730 2.853 2.864 2.517
0.0152 7.750 1.6000000238 2.5465342999    1.600  0.832  3.8901  4.322    0  0.000  0.538     0.00     0.00 -1 -6.69e-14      0.00 7.101e-01 2.747e-01 2.703e-03 7.380e-04 6.703e-03 -1.000 1.524e-02 2.689 2.589 2.692 2.702 2.408
0.0152 7.750 1.6500000954 2.5499615669    1.650  0.890  3.9026  4.328    0  0.000  0.538     0.00     0.00 -1 -3.74e-14      0.00 7.101e-01 2.746e-01 2.702e-03 7.379e-04 6.702e-03 -1.000 1.524e-02 2.545 2.458 2.544 2.553 2.308
0.0152 7.750 1.7000000477 2.5531582832    1.700  0.946  3.9146  4.333    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.102e-01 2.746e-01 2.702e-03 7.378e-04 6.702e-03 -1.000 1.523e-02 2.406 2.335 2.404 2.412 2.215
0.0152 7.750 1.7500000000 2.5561456680    1.749  0.999  3.9259  4.337    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.102e-01 2.746e-01 2.702e-03 7.378e-04 6.701e-03 -1.000 1.525e-02 2.272 2.221 2.274 2.280 2.128
0.0152 7.750 1.7999999523 2.5589430332    1.799  1.051  3.9365  4.340    0  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.102e-01 2.746e-01 2.701e-03 7.377e-04 6.701e-03 -1.000 1.522e-02 2.142 2.115 2.154 2.160 2.046
0.0152 7.750 1.8500000238 2.5615673065    1.849  1.100  3.9465  4.343    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.745e-01 2.701e-03 7.377e-04 6.700e-03 -1.000 1.522e-02 2.020 2.019 2.048 2.052 1.970
0.0152 7.750 1.9000000954 2.5640332699    1.900  1.148  3.9560  4.344    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.745e-01 2.701e-03 7.376e-04 6.700e-03 -1.000 1.522e-02 1.900 1.929 1.948 1.951 1.896
0.0152 7.750 1.9500001669 2.5663545132    1.950  1.195  3.9651  4.346    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.745e-01 2.701e-03 7.376e-04 6.699e-03 -1.000 1.521e-02 1.784 1.844 1.856 1.858 1.827
0.0152 7.750 2.0000000000 2.5685424805    2.001  1.239  3.9738  4.347    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.744e-01 2.701e-03 7.375e-04 6.699e-03 -1.000 1.527e-02 1.672 1.766 1.770 1.771 1.761
0.0152 7.750 2.0381946564 2.5701313019    2.038  1.273  3.9800  4.347    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.744e-01 2.701e-03 7.375e-04 6.699e-03 -1.000 1.524e-02 1.588 1.708 1.708 1.708 1.711
0.0152 7.750 2.0499999523 2.5706083775    2.050  1.283  3.9819  4.347    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.103e-01 2.744e-01 2.701e-03 7.375e-04 6.698e-03 -1.000 1.523e-02 1.563 1.691 1.689 1.689 1.696
0.0152 7.750 2.0999999046 2.5725615025    2.100  1.325  3.9896  4.345    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.700e-03 7.374e-04 6.698e-03 -1.000 1.519e-02 1.457 1.618 1.611 1.610 1.633
0.0152 7.750 2.1220548153 2.5733895302    2.121  1.343  3.9930  4.345    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.700e-03 7.374e-04 6.698e-03 -1.000 1.520e-02 1.411 1.588 1.579 1.577 1.607
0.0152 7.750 2.1500000954 2.5744106770    2.149  1.366  3.9973  4.345    1  0.000  0.537     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.700e-03 7.374e-04 6.698e-03 -1.000 1.521e-02 1.354 1.550 1.538 1.536 1.573
0.0152 7.750 2.2000000477 2.5761635303    2.199  1.407  4.0043  4.343    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.701e-03 7.373e-04 6.698e-03 -1.000 1.526e-02 1.253 1.481 1.466 1.463 1.512
0.0152 7.750 2.2500000000 2.5778269768    2.249  1.446  4.0111  4.341    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.700e-03 7.373e-04 6.697e-03 -1.000 1.525e-02 1.155 1.416 1.396 1.392 1.453
0.0152 7.750 2.2999999523 2.5794074535    2.299  1.484  4.0178  4.338    1  0.000  0.538     0.00     0.00 -1    -1e-30      0.00 7.104e-01 2.744e-01 2.700e-03 7.373e-04 6.697e-03 -1.000 1.525e-02 1.060 1.352 1.329 1.324 1.396
