RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA_1,pmDE_1,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA_icrs,_DE_icrs,RAhour,DEdeg,Bmag,Vmag,Jmag,Hmag,Ksmag,e_Jmag,e_Hmag,e_Ksmag,pmRA_2,pmDE_2,e_pm,RV,e_RV,Qflg,Rflg,Bflg,2MASS,ASCC,SpType,Rcl,Ps,Pkin,PJKs,PJH,MWSC,Separation
0.51728337984,-30.68522046682,2314758575341270912,11.7849681054,-78.6329161805,4.1991,17.757,1.9990000000000003,225,8.965796,0.134546,1.0,Blanco_1,0.517194478462417,-30.6852290735953,0.03447933,-30.685226,9.086,8.96,8.772,8.721,8.715,0.03,0.03,0.03,16.7,2.73,1.5,6.8,1.6,AAA,122,111,145554004,1713910,"A3V                 ",0.7552,1,35.73,100.0,100.0,7,0.28996043984676206
0.29307135961,-30.8098115267,2314750947480284288,11.4360239322,-78.4142058765,4.2305,19.655,2.567,203,17.050798,2.835072,1.0,Blanco_1,0.292972828415086,-30.8098225790238,0.01952907,-30.809814,18.8,16.9,14.135,13.478,13.321,0.032,0.037,0.046,16.51,6.92,4.09,999.99,-9.99,AAA,222,111,145551392,0,,0.9574,1,62.2,100.0,63.96,7,0.4184806219538158
0.27893845911,-30.88593311746,2314749504371272704,11.0875568697,-78.3821039555,4.2342,18.994000000000003,2.4490000000000003,149,16.330343,2.602397,1.0,Blanco_1,0.278843165946906,-30.8859436617306,0.01858654,-30.885963,18.0,16.1,13.586,12.947,12.729,0.03,0.03,0.032,15.05,-1.62,3.9,999.99,-9.99,AAA,222,111,1005236017,0,,1.0286,1,54.5,98.93,100.0,7,0.44715633101319474
-0.23710747711,-30.53356233997,2314809255956328192,13.3014355993,-78.0407708109,4.2212,18.658,2.334,205,14.454287,1.647168,1.0,Blanco_1,359.762799256773,-30.5335723891034,-0.01581411,-30.53356,15.7,13.8,12.444,11.78,11.663,0.03,0.03,0.03,22.5,3.32,4.0,999.99,-9.99,AAA,222,111,628495581,0,,1.1064,1,87.06,100.0,88.61,7,0.32317777270941256
0.47726971633,-30.76107894131,2314755036289129088,11.4605686258,-78.5797103546,3.8587,19.111,2.16,201,17.82795,2.786709,1.0,Blanco_1,0.477173960762497,-30.7610882412748,0.03180993,-30.76111,19.7,17.5,14.779,14.098,13.833,0.041,0.052,0.05,18.01,-8.78,4.09,999.99,-9.99,AAA,222,111,145554115,0,,0.8385,1,15.39,9.48,36.19,7,0.39028128062719974
-0.24505472802,-30.81668778731,2314783932829147392,11.9872601411,-77.965965046,4.0951,19.048000000000002,2.2620000000000005,171,17.621828,2.83955,1.0,Blanco_1,359.754849776863,-30.8166975264417,-0.01634559,-30.816711,19.3,17.4,14.59,13.902,13.729,0.034,0.032,0.05,30.03,-3.31,5.19,999.99,-9.99,AAA,222,111,628496109,0,,1.2716,1,27.85,68.31,11.61,7,0.40819416312533296
-0.22048455957,-30.66783430259,2314794099016398848,12.6558698859,-78.0230786164,4.139,18.443,2.3640000000000003,172,17.39951,2.816364,1.0,Blanco_1,359.779423121174,-30.6678444808907,-0.01470639,-30.66784,19.3,17.1,14.423,13.805,13.609,0.03,0.035,0.046,23.14,-5.07,4.0,999.99,-9.99,AAA,222,111,628495831,0,,1.1647,1,35.77,99.89,90.2,7,0.34503910900609974
0.03835731626,-30.09178736318,2314848666576151680,15.1610057976,-78.3682694275,4.0058,18.942000000000004,2.9430000000000005,194,17.987078,2.871006,0.9,Blanco_1,0.0382630563804202,-30.0918000343964,0.00255007,-30.091812,20.0,17.7,14.857,14.287,14.053,0.041,0.056,0.079,15.35,-11.64,4.09,999.99,-9.99,AAA,222,111,145543343,0,,0.7387,1,4.16,99.88,100.0,7,0.3428008643648791
0.16404264717,-30.27189678966,2314830902591420416,14.1715520308,-78.4366606065,4.1832,18.797,2.531,207,16.166338,2.346765,1.0,Blanco_1,0.163948937680321,-30.2719076869878,0.01092874,-30.271906,17.8,15.9,13.6,12.912,12.784,0.03,0.03,0.03,19.78,0.15,3.9,999.99,-9.99,AAA,222,111,1005237047,0,,0.6803,1,92.81,100.0,99.73,7,0.34835507716630165
-0.01774763015,-30.2563496714,2314842687981678336,14.4149575419,-78.2867132482,4.4597,18.452,2.245,192,17.736197,2.726894,1.0,Blanco_1,359.982160394869,-30.2563593373401,-0.00119011,-30.256355,19.3,17.3,14.758,14.105,13.821,0.03,0.03,0.041,17.01,-2.36,4.0,999.99,-9.99,AAA,222,111,628517936,0,,0.8219,1,63.74,3.59,29.92,7,0.32409387416595975
